"BRANCHNO"	"BRANCHNAME"	"BCODE"	"X_Manager"
0	"BRANCH 0"	"0000"	
1	"RECEPTION"	"Receptn"	
101	"ADMIN-SPECIAL ADMIN (NON LEVY)"	"0101"	
102	"ADMIN-REIDS"	"0102"	1
103	"ADMIN-VIOLET GROVE"	"0103"	
104	"ADMIN-EASTERN HILL CAMP(REV)"	"0104"	
105	"ADMIN-EASTERN HILL CAMP"	"0105"	
106	"ADMIN-GENERAL ADMIN (LEVY EXP)"	"0106"	
107	"ADMIN-GIFT FUND"	"0107"	
108	"ADMIN-SKEWES GIFT FUND"	"0108"	
110	"ADMIN-GENERAL ADMIN (ADMIN LEVY)"	"0110"	
111	"ADMIN-CAPITAL WORKS & DEPRECIATION"	"0111"	
112	"ADMIN-SALARY ON COSTS"	"0112"	
113	"ADMIN-CAR POOL"	"0113"	
114	"ADMIN-DAYLESFORD"	"0114"	
115	"ADMIN-BALLARAT FAMILY THERAPY GROUP"	"0115"	
120	"ADMIN-GENERAL ADMIN (TRANSFERS)"	"0120"	
130	"ADMIN-MANAGEMENT LEVY"	"0130"	
150	"ADMIN-CAPITAL WORKS INTERNAL LEVY"	"0150"	
155	"ADMIN-DEPRECIATION"	"0155"	
170	"ADMIN-QUALITY"	"0170"	
180	"ADMIN-SAFETY"	"0180"	
261	"AGED & DISABILITY-DO CARE"	"0261"	
262	"AGED & DISABILITY-COMMUNITY VISITING"	"0262"	
264	"AGED & DISABILITY-DO CARE MINOR CAPITAL"	"0264"	
265	"AGED & DISABILITY-ARARAT DO CARE"	"0265"	
266	"AGED & DISABILITY-SUPPORT FOR CARERS"	"0266"	
267	"AGED & DISABILITY-NON RECURRENT"	"0267"	
268	"AGED & DISABILITY-ARARAT TRANSPORT"	"0268"	
269	"AGED & DISABILITY-ARARAT SUPPORT FOR CAR"	"0269"	
270	"AGED & DISABILITY-COMMUNITY TRANSPORT"	"0270"	
272	"AGED & DISABILITY-TRANSPORT CONNECTIONS"	"0272"	
273	"AGED & DISABILITY-TRANSPORT CONNECTIONS"	"0273"	
274	"AGED & DISABILITY-CARERS RESPITE"	"0274"	
280	"AGED & DISABILITY-SUNWAYS"	"0280"	
291	"AGED & DISABILITY-DO CARE BALL SOC ACC"	"0291"	
294	"AGED & DISABILITY-BUS SURPLUS"	"0294"	
310	"ALCOHOL & OTHER DRUGS-A&OD MANAGEMENT"	"0310"	
374	"ALCOHOL & OTHER DRUGS-DRUG DIVERSION"	"0374"	
375	"ALCOHOL & OTHER DRUGS-TABOR EQUINE PROGR"	"0375"	
376	"ALCOHOL & OTHER DRUGS-TABOR"	"0376"	
377	"ALCOHOL & OTHER DRUGS-TABOR CAPITAL RSV"	"0377"	
378	"ALCOHOL & OTHER DRUGS-POST WITHDRAWAL LI"	"0378"	
379	"ALCOHOL & OTHER DRUGS-A & D FAMILY COUNS"	"0379"	
380	"ALCOHOL & OTHER DRUGS-YOUTH NON RECURREN"	"0380"	
381	"ALCOHOL & OTHER DRUGS-CCCC"	"0381"	
382	"ALCOHOL & OTHER DRUGS-SACC MALE"	"0382"	
383	"ALCOHOL & OTHER DRUGS-YOUTH"	"0383"	
385	"ALCOHOL & OTHER DRUGS-YRIPP"	"0385"	
386	"ALCOHOL & OTHER DRUGS-WORKFORCE DEV PROJ"	"0386"	
387	"ALCOHOL & OTHER DRUGS-DUAL DIAGNOSIS RSV"	"0387"	
388	"ALCOHOL & OTHER DRUGS-SACC FEMALE"	"0388"	
389	"ALCOHOL & OTHER DRUGS-KEY DIRECTIONS INI"	"0389"	
390	"ALCOHOL & OTHER DRUGS-DRUG ACTION WEEK"	"0390"	
391	"ALCOHOL & OTHER DRUGS-INTERAGENCY A&OD M"	"0391"	
392	"ALCOHOL & OTHER DRUGS-KOKODA"	"0392"	
394	"ALCOHOL & OTHER DRUGS-INTENSIVE CASE MAN"	"0394"	
396	"ALCOHOL & OTHER DRUGS-MINOR CAPITAL WKS"	"0396"	
451	"HOUSING-THM ADMIN"	"0451"	
452	"HOUSING-OUTREACH PROPERTIES"	"0452"	
453	"HOUSING-THM PROPERTIES"	"0453"	
454	"HOUSING-HEF"	"0454"	
455	"HOUSING-SHIP"	"0455"	
456	"HOUSING-HPF"	"0456"	
457	"HOUSING-COMMUNITY CAPACITY BUILDING"	"0457"	
458	"HOUSING-IAP"	"0458"	
