0,MISCELLANEOUS,105 Dana Street,Ballarat  Vic  3350,,,,,-1,N
4,CENTRAL HIGHLANDS WATER,PO Box 152,Ballarat   Vic  3353,,03 5320 3111,61353203299,,34,N
5,RED ENERGY PTY LTD,GPO Box 5450,Melbourne   Vic   3001,,131 806,,,32,N
6,BARWON WATER,PO Box 659,Geelong  Vic  3220,,1300 656 007,,,34,N
7,G GAY & CO HOME HARDWARE (UCB),127 Gillies Street  North,Ballarat  Vic  3350,,03 5334 2700,61353341632,gillies@ggay.com.au,32,N
8,TREMBATH AUTOMOTIVE SERVICES,12 Martin Drive,Delacombe   Vic,,03 5336 3580,,tremdrive@ncable.net.au,-1,N
9,ORIGIN ENERGY ELECTRICITY LIMITED,Private Bag 14825,Melbourne   Vic   8001,,1300 661 544,,,-1,N
10,BISON SERVICES,PO Box 609,Ballarat   Vic   3353,,0408 312 250,,lgunn@ucare.org.au,34,N
11,ENERGY AUSTRALIA,GPO Box 4491,Melbourne   Vic  3001,,133 466,,,-1,N
12,WESTERN WATER,PO Box 2371,Sunbury DC Vic,,1300 650 422,61392185444,3429,34,N
13,COLIBAN WATER,PO Box 2770,Bendigo  Vic  3354,,1300 363 200,,,34,N
14,HOMESTEAD CARPETS PTY LTD,PO Box 46,Miners Rest   Vic  3352,,03 5338 1970,61353381666,,32,N
15,RADMAC OFFICE CHOICE (UCB),110 Armstrong Street South,Ballarat  Vic  3350,,03 5333 4617,61353334673,radmac@ncable.net.au,32,N
16,COLES CUSTOMER ACCOUNT,GPO Box 5290,Melbourne  Vic 3001,,1300 366 109,61392749130,enquiries@wrightexpress.com.au,-1,N
18,TITHERIDGE REAL ESTATE PTY LTD,PO Box 601W,Ballarat West   Vic,,03 5332 2137,61353331507,titheridge@titheridge.com.au,-1,N
19,NATURES CARGO PTY LTD (REIDS),29-31 Coronet Street,Wendouree   Vic   3355,,03 5342 6700,61353381791,AR@naturescargo.com.au,-1,N
20,COL WILKIE'S PAINT CENTRE,21 Dana Street,Ballarat  Vic  3350,,03 5333 2615,61353332620,col.wilkie@bigpond.net.au,-1,N
21,THE PLATING WORKS LUNCHSHOP,PO Box 1658,Bakery Hill   Vic  3354,,03 5332 8521,,ianrowe_@hotmail.com,-1,N
22,GRAMPIANS COMMUNITY HEALTH (CRC),8-22 Patrick Street,Stawell   Vic  3380,,03 5358 7400,03 5358 4113,gch@grampianscommunityhealth.org.au,32,N
23,SLEEP'S PLUMBING,PO Box 134N,BALLARAT NORTH   VIC   3350,,03 5334 4747,03 5338 8960,info@sleepsplumbing.com.au,32,N
24,GOOD TO GO,1219B Howitt Street,Wendouree   Vic  3355,,03 5339 5028,03 5339 5782,,32,N
25,MALCOLM HOBBS,16 Raglan Street,Miners Rest  Vic 3352,,0427 357 369,,,34,N
26,PALMER HIRE,831 Howitt Street,Wendouree   Vic  3355,,03 5339 6300,03 5338 1300,,32,N
