20,SALES - ATTRACTING GST,20-GST,10,N
21,EXPORT SALES - NO GST,21-EXP,0,N
22,OTHER GST-FREE SALES,22-FRE,0,N
23,INPUT TAX SALES - NO GST,23-INP,0,N
24,DEBTOR ADJUSTMENTS,24,10,N
25,CREDITOR ADJUSTMENTS,25,10,N
26,CAP PURCH - IMPORTS,26,0,N
27,CAP PURCH - ATTRACTING GST,27-CAP,10,N
28,CAP PURCH - INPUTS,28,0,N
29,CAP PURCH - WITHOUT GST,29,0,N
30,CAP PURCH - PRIVATE USE,30,0,N
31,NONCAP PURCH - IMPORTS,31-IMP,0,N
32,NONCAP PURCH - ATTRACTING GST,32-GST,10,N
33,NONCAP PURCH - INPUTS,33-INP,0,N
34,NONCAP PURCH - WITHOUT GST,34-FRE,0,N
35,NONCAP PURCH - PRIVATE USE,35-PRI,0,N
36,PURCH 100%,PUR 10,100,N
37,SALES 100%,100%,100,N
38,SALES 5.5%,SAL5.5,5.5,N
39,PURCH 5.5%,PUR5.5,5.5,N
